method,promo_intensity_coef,p_value,intercept
OLS,1.0891812030530053,2.299146592817793e-36,0.25138272160424685
Robust regression - Huber's T,0.34994673274957977,1.048663163917569e-266,0.03750074979061385
Quantile regression - median,0.30381971259532914,1.4860259022306953e-293,0.016510250819314953
