term,coef_ols,p_value_ols,coef_robust,p_value_robust
promo_intensity:avg_discount_depth,0.14515984998486348,0.09742821895380468,0.04339796443081265,0.0
promo_intensity:C(quarter)[T.Q3],-1.185906737730615,0.11361319414081397,0.0935559950277884,0.0004977729414196604
promo_intensity:C(quarter)[T.Q4],-1.0309279097946467,0.16476716070785058,0.061294460441462896,0.032609643638857724
promo_intensity:C(pack_type)[T.MULTI PACK],1.5166824022663101,0.2485664948041968,0.0028427319702213493,0.9669858623116915
promo_intensity:C(base_size_bucket)[T.medium],1.2962418241246438,0.334058439919552,0.08745844825880059,0.0005794769028301097
promo_intensity:C(quarter)[T.Q2],-0.42894056181675955,0.33495778414442756,0.027263127009511567,0.3059715849695731
promo_intensity:C(base_size_bucket)[T.large],0.21866070556777725,0.7330434897954548,-0.012643937118772963,0.6565345918406498
promo_intensity:is_holiday_week,0.05202037851355935,0.8481936359633827,0.037133711690673275,0.11484039219907456
promo_intensity:C(pack_type)[T.SINGLE PACK],-0.15576756173656756,0.8897737318109992,0.02621377474641324,0.6972839832258062
