segment,n_events,median_rate,total_own_lift,total_peer_net_change,aggregate_cannibalization_rate
SUW,2375,-0.03581005401034534,1301107.4629217454,5699867.560804031,-4.380781544365677
SFW,2967,-0.17559122025795565,944030.8214224695,1569890.5814129682,-1.6629653881929944
