segment,brand,n_events,median_rate,total_own_lift,total_peer_net_change,aggregate_cannibalization_rate
SFW,DRINK & PLAY (SURPRISE DRINKS USA LLC),18,0.1734289704512233,579.6299843507626,-82.89217004231493,0.14300876814570174
SFW,KARMA (KARMA CULTURE LLC),29,-0.0,526.8324050555019,300.94371805399885,-0.5712323599803896
SFW,WET HYDRATION (WET BEVERAGES LLC),20,-0.32918037220643886,412.54273836415587,467.9080939343314,-1.1342051390595658
SUW,"OPEN WATER (GREEN SHEEP, INC.)",20,-0.10187262630091096,390.2463938548342,84.34904838719811,-0.21614305658023503
SUW,FRESH PURE WATERS (NATIONAL WATER SERVICES INC),6,-0.10386192363990339,299.6826830075641,157.77631344472957,-0.5264779127753179
SFW,SHINE WATER (SHINE WATER LLC),60,-0.5858782052862525,291.4875570902071,231.70295597937167,-0.7948982738486714
SFW,ZIYAD (ZIYAD BROTHERS IMPORTING),6,-0.1609596126946284,174.81163583550358,171.4835261994767,-0.9809617385014427
SUW,"GLACIER (GLACIER WATER SERVICES, INC.)",28,-10.987228418498958,113.12330743469505,329.4096459099061,-2.9119520404764594
SFW,GOOD WOLF (GOOD WOLF),8,-1.2893821360122715,87.3216389181137,62.10494943892803,-0.7112206116191572
SUW,VOSS (VOSS OF NORWAY ASA),7,-0.0,72.39172277392552,-0.05825524266630702,0.0008047224245268236
SFW,13E LIGHT (DOS AMIGOS INC),5,-0.0,68.47331090119907,2.3635302401842804,-0.034517539886374786
SFW,SHINE KIDS (SHINE WATER LLC),15,-0.21946127987726485,63.785484242155825,12.646592061073475,-0.1982675558762215
SUW,ORIGIN (PRIMO BRANDS CORPORATION),10,-0.0,58.15420306047083,25.955248520139858,-0.44631767188264376
SUW,WAIAKEA (WAIAKEA INC.),7,0.01983803850363207,44.064949813631436,2.853382445278017,-0.0647540155462818
SFW,YESLY (YESLY WATER LLC),9,-0.6576440568522487,38.048186792160706,24.212640268809906,-0.6363677828084723
SFW,MANANALU (MANANALU LLC),11,-0.5310720578677421,37.66011689896739,24.842482987019423,-0.6596496514778631
SUW,CULLIGAN (CULLIGAN INTERNATIONAL COMPANY),2,8.4659159477429,24.54919008369591,-122.79680097438495,5.002071374075155
SFW,PURE LIFE (PRIMO BRANDS CORPORATION),21,-0.0,19.485960663908166,0.03791544421736204,-0.0019457826519987235
SFW,"NATURAL FRUIT SPLASH (PREMIUM WATERS, INC.)",1,-1.1143206774323435,16.564494788323785,18.458159053849485,-1.1143206774323435
SFW,TREO (TREO BRANDS LLC),5,-2.2099396504652202,14.063615038543182,28.696358775756575,-2.040468165340877
SUW,"ROCKY MOUNTAIN (ROCKY MOUNTAIN WATER CO, INC)",1,-6.544360021754837,10.30705807913095,67.4530988349698,-6.544360021754837
SUW,WATERCO (WATERCO LLC),1,0.010036088109779151,5.2370056918929375,-0.05255905055525245,0.010036088109779151
