upc,item,brand,segment,week_ending,sub_group,own_lift,peer_net_change,cannibalization_rate,peer_stockout_share
1200050404,AQFN DRNK WTR BTL 24PK 16.9 FL OZ,AQUAFINA (PEPSI COLA CO/DIV PEPSICO INC),SUW,2025-04-12,SUW|AQUAFINA (PEPSI COLA CO/DIV PEPSICO INC)|16.9 FLUID OUNCE|MULTI PACK,7692.848883416176,1088.0635880232346,-0.14143831557237824,0.0
18473900004,HNT RSPB OTHR NTRL FLVR INFS WTH ESNC ZR CLRS CNTN NO JC DRNK WTR BTL 16 FL OZ,HINT (HINT INC),SFW,2025-01-11,SFW|HINT (HINT INC)|16 FLUID OUNCE|SINGLE PACK,212.3308098537093,-295.7745914681727,1.3929895132597765,0.0
18473900004,HNT RSPB OTHR NTRL FLVR INFS WTH ESNC ZR CLRS CNTN NO JC DRNK WTR BTL 16 FL OZ,HINT (HINT INC),SFW,2025-01-18,SFW|HINT (HINT INC)|16 FLUID OUNCE|SINGLE PACK,518.294972572894,231.27037849041423,-0.44621381786196646,0.18181818181818182
18473900004,HNT RSPB OTHR NTRL FLVR INFS WTH ESNC ZR CLRS CNTN NO JC DRNK WTR BTL 16 FL OZ,HINT (HINT INC),SFW,2025-01-25,SFW|HINT (HINT INC)|16 FLUID OUNCE|SINGLE PACK,511.9773069563614,-94.77646107646314,0.18511848042620654,0.25
18473900004,HNT RSPB OTHR NTRL FLVR INFS WTH ESNC ZR CLRS CNTN NO JC DRNK WTR BTL 16 FL OZ,HINT (HINT INC),SFW,2025-02-01,SFW|HINT (HINT INC)|16 FLUID OUNCE|SINGLE PACK,404.7395408615339,244.59729606151376,-0.6043325926121791,0.09090909090909091
18473900004,HNT RSPB OTHR NTRL FLVR INFS WTH ESNC ZR CLRS CNTN NO JC DRNK WTR BTL 16 FL OZ,HINT (HINT INC),SFW,2025-02-08,SFW|HINT (HINT INC)|16 FLUID OUNCE|SINGLE PACK,77.5322764087972,108.65891988083865,-1.4014669104763917,0.18181818181818182
18473900004,HNT RSPB OTHR NTRL FLVR INFS WTH ESNC ZR CLRS CNTN NO JC DRNK WTR BTL 16 FL OZ,HINT (HINT INC),SFW,2025-03-15,SFW|HINT (HINT INC)|16 FLUID OUNCE|SINGLE PACK,432.4504541546654,7.738687456056805,-0.01789496896513623,0.2857142857142857
18473900004,HNT RSPB OTHR NTRL FLVR INFS WTH ESNC ZR CLRS CNTN NO JC DRNK WTR BTL 16 FL OZ,HINT (HINT INC),SFW,2025-03-22,SFW|HINT (HINT INC)|16 FLUID OUNCE|SINGLE PACK,395.35302227342925,21.406902748403066,-0.05414629847852253,0.0
18473900004,HNT RSPB OTHR NTRL FLVR INFS WTH ESNC ZR CLRS CNTN NO JC DRNK WTR BTL 16 FL OZ,HINT (HINT INC),SFW,2025-03-29,SFW|HINT (HINT INC)|16 FLUID OUNCE|SINGLE PACK,464.9839417260695,25.73691726183973,-0.05535012062201885,0.16666666666666666
18473900004,HNT RSPB OTHR NTRL FLVR INFS WTH ESNC ZR CLRS CNTN NO JC DRNK WTR BTL 16 FL OZ,HINT (HINT INC),SFW,2025-04-05,SFW|HINT (HINT INC)|16 FLUID OUNCE|SINGLE PACK,283.61294215226246,21.900960396728546,-0.07722130108212989,0.5555555555555556
